assay,sample,quadrant,wid,hei,n_frames
open_field,20190614_1456_icab_ho5_R,q4,342,354,18000
open_field,20190614_1524_icab_icab_R,q1,342,354,18000
open_field,20190614_1524_icab_icab_R,q2,364,354,18000
open_field,20190614_1524_icab_icab_R,q3,364,350,18000
open_field,20190614_1524_icab_icab_R,q4,342,350,18000
open_field,20190614_1553_icab_hni_L,q1,344,360,18000
open_field,20190614_1553_icab_hni_L,q2,362,360,18000
open_field,20190614_1553_icab_hni_L,q3,362,344,18000
open_field,20190614_1553_icab_hni_L,q4,344,344,18000
open_field,20190614_1619_icab_kaga_L,q1,348,362,18000
open_field,20190614_1619_icab_kaga_L,q2,358,362,18000
open_field,20190614_1619_icab_kaga_L,q3,358,342,18000
open_field,20190614_1619_icab_kaga_L,q4,348,342,18000
open_field,20190614_1644_icab_hni_L,q1,358,362,18000
open_field,20190614_1644_icab_hni_L,q2,348,362,18000
open_field,20190614_1644_icab_hni_L,q3,348,342,18000
open_field,20190614_1644_icab_hni_L,q4,358,342,18000
open_field,20190615_1022_icab_ho5_L,q1,354,356,18000
open_field,20190615_1022_icab_ho5_L,q2,352,356,18000
open_field,20190615_1022_icab_ho5_L,q3,352,348,18000
open_field,20190615_1022_icab_ho5_L,q4,354,348,18000
open_field,20190615_1051_icab_hdr_L,q1,348,358,18000
open_field,20190615_1051_icab_hdr_L,q2,358,358,18000
open_field,20190615_1051_icab_hdr_L,q3,358,346,18000
open_field,20190615_1051_icab_hdr_L,q4,348,346,18000
open_field,20190615_1117_icab_kaga_L,q1,352,364,17952
open_field,20190615_1117_icab_kaga_L,q2,354,364,17952
open_field,20190615_1117_icab_kaga_L,q3,354,340,17952
open_field,20190615_1117_icab_kaga_L,q4,352,340,17952
open_field,20190615_1145_icab_hni_R,q1,350,352,18000
open_field,20190615_1145_icab_hni_R,q2,356,352,18000
open_field,20190615_1145_icab_hni_R,q3,356,352,18000
open_field,20190615_1145_icab_hni_R,q4,350,352,18000
open_field,20190615_1210_icab_ho5_R,q1,348,350,18000
open_field,20190615_1210_icab_ho5_R,q2,358,350,18000
open_field,20190615_1210_icab_ho5_R,q3,358,354,18000
open_field,20190615_1210_icab_ho5_R,q4,348,354,18000
open_field,20190615_1236_icab_hdr_R,q1,344,348,18000
open_field,20190615_1236_icab_hdr_R,q2,362,348,18000
open_field,20190615_1236_icab_hdr_R,q3,362,356,18000
open_field,20190615_1236_icab_hdr_R,q4,344,356,18000
open_field,20190615_1305_icab_ho5_R,q1,342,344,18000
open_field,20190615_1305_icab_ho5_R,q2,364,344,18000
open_field,20190615_1305_icab_ho5_R,q3,364,360,18000
open_field,20190615_1305_icab_ho5_R,q4,342,360,18000
open_field,20190615_1332_icab_icab_L,q1,354,362,18000
open_field,20190615_1332_icab_icab_L,q2,352,362,18000
open_field,20190615_1332_icab_icab_L,q3,352,342,18000
open_field,20190615_1332_icab_icab_L,q4,354,342,18000
open_field,20190615_1358_icab_icab_L,q1,360,356,18000
open_field,20190615_1358_icab_icab_L,q2,346,356,18000
open_field,20190615_1358_icab_icab_L,q3,346,348,18000
open_field,20190615_1358_icab_icab_L,q4,360,348,18000
open_field,20190615_1423_icab_icab_L,q1,348,364,18000
open_field,20190615_1423_icab_icab_L,q2,358,364,18000
open_field,20190615_1423_icab_icab_L,q3,358,340,18000
open_field,20190615_1423_icab_icab_L,q4,348,340,18000
open_field,20190615_1452_icab_hdr_L,q1,350,358,18000
open_field,20190615_1452_icab_hdr_L,q2,356,358,18000
open_field,20190615_1452_icab_hdr_L,q3,356,346,18000
open_field,20190615_1452_icab_hdr_L,q4,350,346,18000
open_field,20190615_1518_icab_kaga_L,q1,348,360,18000
open_field,20190615_1518_icab_kaga_L,q2,358,360,18000
open_field,20190615_1518_icab_kaga_L,q3,358,344,18000
open_field,20190615_1518_icab_kaga_L,q4,348,344,18000
open_field,20190615_1549_icab_hni_L,q1,350,356,18000
open_field,20190615_1549_icab_hni_L,q2,356,356,18000
open_field,20190615_1549_icab_hni_L,q3,356,348,18000
open_field,20190615_1549_icab_hni_L,q4,350,348,18000
open_field,20190615_1616_icab_hni_L,q1,352,360,18000
open_field,20190615_1616_icab_hni_L,q2,354,360,18000
open_field,20190615_1616_icab_hni_L,q3,354,344,18000
open_field,20190615_1616_icab_hni_L,q4,352,344,18000
open_field,20190615_1649_icab_icab_L,q1,352,364,18000
open_field,20190615_1649_icab_icab_L,q2,354,364,18000
open_field,20190615_1649_icab_icab_L,q3,354,340,18000
open_field,20190615_1649_icab_icab_L,q4,352,340,18000
open_field,20190615_1714_icab_icab_L,q1,354,356,18000
open_field,20190615_1714_icab_icab_L,q2,352,356,18000
open_field,20190615_1714_icab_icab_L,q3,352,348,18000
open_field,20190615_1714_icab_icab_L,q4,354,348,18000
open_field,20190616_0923_icab_icab_L,q1,350,358,18000
open_field,20190616_0923_icab_icab_L,q2,356,358,18000
open_field,20190616_0923_icab_icab_L,q3,356,346,18000
open_field,20190616_0923_icab_icab_L,q4,350,346,18000
open_field,20190616_0948_icab_hdr_L,q1,356,356,18000
open_field,20190616_0948_icab_hdr_L,q2,350,356,18000
open_field,20190616_0948_icab_hdr_L,q3,350,348,18000
open_field,20190616_0948_icab_hdr_L,q4,356,348,18000
open_field,20190616_1017_icab_kaga_R,q1,350,342,18000
open_field,20190616_1017_icab_kaga_R,q2,356,342,18000
open_field,20190616_1017_icab_kaga_R,q3,356,362,18000
open_field,20190616_1017_icab_kaga_R,q4,350,362,18000
open_field,20190616_1045_icab_icab_L,q1,350,358,18000
open_field,20190616_1045_icab_icab_L,q2,356,358,18000
open_field,20190616_1045_icab_icab_L,q3,356,346,18000
open_field,20190616_1045_icab_icab_L,q4,350,346,18000
open_field,20190616_1110_icab_icab_L,q1,348,358,18000
open_field,20190616_1110_icab_icab_L,q2,358,358,18000
open_field,20190616_1110_icab_icab_L,q3,358,346,18000
open_field,20190616_1110_icab_icab_L,q4,348,346,18000
open_field,20190616_1135_icab_kaga_R,q1,348,348,18000
open_field,20190616_1135_icab_kaga_R,q2,358,348,18000
open_field,20190616_1135_icab_kaga_R,q3,358,356,18000
open_field,20190616_1135_icab_kaga_R,q4,348,356,18000
open_field,20190616_1210_icab_icab_R,q1,348,344,18000
open_field,20190616_1210_icab_icab_R,q2,358,344,18000
open_field,20190616_1210_icab_icab_R,q3,358,360,18000
open_field,20190616_1210_icab_icab_R,q4,348,360,18000
open_field,20190616_1227_icab_kaga_R,q1,346,348,18000
open_field,20190616_1227_icab_kaga_R,q2,360,348,18000
open_field,20190616_1227_icab_kaga_R,q4,346,356,18000
open_field,20190616_1256_icab_kaga_L,q1,350,358,18000
open_field,20190616_1256_icab_kaga_L,q2,356,358,18000
open_field,20190616_1256_icab_kaga_L,q3,356,346,18000
open_field,20190616_1256_icab_kaga_L,q4,350,346,18000
open_field,20190616_1325_icab_hni_R,q1,356,342,18000
open_field,20190616_1325_icab_hni_R,q2,350,342,18000
open_field,20190616_1325_icab_hni_R,q3,350,362,18000
open_field,20190616_1325_icab_hni_R,q4,356,362,18000
open_field,20190616_1351_icab_ho5_L,q1,356,356,18000
open_field,20190616_1351_icab_ho5_L,q2,350,356,18000
open_field,20190616_1351_icab_ho5_L,q3,350,348,18000
open_field,20190616_1351_icab_ho5_L,q4,356,348,18000
open_field,20190616_1417_icab_hni_L,q1,352,356,18000
open_field,20190616_1417_icab_hni_L,q2,354,356,18000
open_field,20190616_1417_icab_hni_L,q3,354,348,18000
open_field,20190616_1417_icab_hni_L,q4,352,348,18000
open_field,20190616_1441_icab_hni_L,q1,358,356,18000
open_field,20190616_1441_icab_hni_L,q2,348,356,18000
open_field,20190616_1441_icab_hni_L,q3,348,348,18000
open_field,20190616_1441_icab_hni_L,q4,358,348,18000
open_field,20190616_1506_icab_hni_L,q1,356,358,18000
open_field,20190616_1506_icab_hni_L,q2,350,358,18000
open_field,20190616_1506_icab_hni_L,q3,350,346,18000
open_field,20190616_1506_icab_hni_L,q4,356,346,18000
open_field,20190616_1531_icab_hdr_L,q1,350,364,18000
open_field,20190616_1531_icab_hdr_L,q2,356,364,18000
open_field,20190616_1531_icab_hdr_L,q3,356,340,18000
open_field,20190616_1531_icab_hdr_L,q4,350,340,18000
open_field,20190616_1556_icab_hdr_L,q1,360,356,18000
open_field,20190616_1556_icab_hdr_L,q2,346,356,18000
open_field,20190616_1556_icab_hdr_L,q3,346,348,18000
open_field,20190616_1556_icab_hdr_L,q4,360,348,18000
open_field,20190616_1622_icab_ho5_L,q1,348,364,18000
open_field,20190616_1622_icab_ho5_L,q2,358,364,18000
open_field,20190616_1622_icab_ho5_L,q3,358,340,18000
open_field,20190616_1622_icab_ho5_L,q4,348,340,18000
open_field,20190616_1651_icab_icab_L,q1,356,356,18000
open_field,20190616_1651_icab_icab_L,q2,350,356,18000
open_field,20190616_1651_icab_icab_L,q3,350,348,18000
open_field,20190616_1651_icab_icab_L,q4,356,348,18000
open_field,20190616_1717_icab_icab_L,q1,348,360,18000
open_field,20190616_1717_icab_icab_L,q2,358,360,18000
open_field,20190616_1717_icab_icab_L,q3,358,344,18000
open_field,20190616_1717_icab_icab_L,q4,348,344,18000
